epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,33256,1.52009,1.40062,1.36215,0.7242,0.68677,0.72338,0.4565,1.37255,1.19516,1.22328,0.00995899,0.00995899,0.00995899
43,33973.3,1.51725,1.40311,1.36326,0.70631,0.70093,0.72205,0.45779,1.36524,1.19407,1.2128,0.00995697,0.00995697,0.00995697
44,34810.3,1.51184,1.38955,1.35482,0.70379,0.66973,0.7093,0.45191,1.36558,1.20249,1.22144,0.0099549,0.0099549,0.0099549
45,35741.3,1.51383,1.38735,1.35731,0.79031,0.64654,0.72947,0.46794,1.3638,1.2106,1.21792,0.00995278,0.00995278,0.00995278
46,36605,1.5031,1.38478,1.34992,0.71366,0.68347,0.72403,0.46393,1.36096,1.17655,1.21171,0.00995062,0.00995062,0.00995062
47,37092.8,1.50453,1.38288,1.34795,0.73473,0.68697,0.72538,0.46486,1.35511,1.16423,1.20566,0.0099484,0.0099484,0.0099484
48,37987.7,1.5052,1.37995,1.34819,0.74897,0.68754,0.72616,0.46326,1.35298,1.16562,1.20656,0.00994614,0.00994614,0.00994614
49,38782.6,1.49554,1.36999,1.34154,0.76385,0.67433,0.72979,0.46309,1.35556,1.17448,1.20735,0.00994383,0.00994383,0.00994383
50,39552.3,1.50164,1.35663,1.34422,0.72257,0.63153,0.72552,0.46049,1.35618,1.15891,1.20436,0.00994147,0.00994147,0.00994147
51,40258.6,1.48844,1.36057,1.34823,0.66262,0.7454,0.72713,0.46152,1.34543,1.14137,1.19966,0.00993906,0.00993906,0.00993906
52,41199,1.49498,1.36535,1.34082,0.72011,0.6434,0.72683,0.45795,1.34379,1.15976,1.20478,0.0099366,0.0099366,0.0099366
53,41903.2,1.50028,1.36389,1.34917,0.77986,0.70074,0.73779,0.47583,1.33621,1.15679,1.1983,0.0099341,0.0099341,0.0099341
54,42830.5,1.49548,1.3567,1.33936,0.73926,0.70128,0.73825,0.47205,1.33401,1.15159,1.19663,0.00993154,0.00993154,0.00993154
55,43684,1.495,1.35701,1.34006,0.80409,0.64904,0.74525,0.48228,1.33449,1.14315,1.19299,0.00992894,0.00992894,0.00992894
56,44359.2,1.48956,1.35217,1.34003,0.74949,0.68338,0.74379,0.47913,1.33771,1.14308,1.19582,0.00992629,0.00992629,0.00992629
57,45182,1.49171,1.35128,1.33732,0.74549,0.67363,0.73428,0.47616,1.34406,1.14324,1.19899,0.00992359,0.00992359,0.00992359
58,45867.8,1.48752,1.36113,1.34635,0.76138,0.68774,0.73754,0.47912,1.33999,1.13891,1.19604,0.00992085,0.00992085,0.00992085
59,46496.7,1.48089,1.34668,1.33873,0.78477,0.66,0.73413,0.47844,1.33396,1.13965,1.1984,0.00991805,0.00991805,0.00991805
60,47112,1.48692,1.33903,1.32973,0.77965,0.66889,0.74022,0.48151,1.33165,1.13009,1.19453,0.00991521,0.00991521,0.00991521
61,47871.7,1.47949,1.34181,1.33773,0.79544,0.6635,0.74612,0.4816,1.3311,1.1214,1.18957,0.00991232,0.00991232,0.00991232
62,48903.1,1.46627,1.32474,1.32731,0.77499,0.68974,0.74925,0.48512,1.33219,1.1163,1.19063,0.00990938,0.00990938,0.00990938
63,49653.9,1.48704,1.332,1.33115,0.78723,0.69533,0.75239,0.4927,1.32466,1.10029,1.18883,0.0099064,0.0099064,0.0099064
64,50261.1,1.47654,1.33095,1.3235,0.78741,0.70611,0.75487,0.48849,1.32202,1.10565,1.18888,0.00990336,0.00990336,0.00990336
65,50902.5,1.47242,1.32097,1.32562,0.77785,0.71216,0.75174,0.49115,1.32096,1.10681,1.18736,0.00990028,0.00990028,0.00990028
66,51505.4,1.47144,1.32702,1.32431,0.75876,0.72021,0.75391,0.4907,1.31711,1.09381,1.18229,0.00989715,0.00989715,0.00989715
67,52046.7,1.46228,1.31367,1.33047,0.76247,0.72168,0.75278,0.48773,1.31743,1.086,1.1843,0.00989398,0.00989398,0.00989398
68,52898.6,1.4544,1.30597,1.31408,0.7681,0.71208,0.75273,0.48537,1.31723,1.08362,1.18488,0.00989075,0.00989075,0.00989075
69,53551.4,1.47451,1.32096,1.32616,0.77103,0.70393,0.75402,0.48508,1.3151,1.0903,1.18497,0.00988748,0.00988748,0.00988748
70,54471.7,1.46429,1.32884,1.32621,0.79818,0.69398,0.75505,0.4862,1.3155,1.09345,1.18343,0.00988416,0.00988416,0.00988416
71,55115.5,1.45588,1.30734,1.31884,0.78658,0.71533,0.75621,0.4911,1.31366,1.08927,1.18164,0.00988079,0.00988079,0.00988079
72,55907,1.46377,1.30259,1.31771,0.7966,0.71248,0.7573,0.48992,1.31314,1.08411,1.18163,0.00987737,0.00987737,0.00987737
73,56635.1,1.46797,1.30812,1.3175,0.79352,0.71545,0.75743,0.4931,1.30816,1.07928,1.17919,0.00987391,0.00987391,0.00987391
74,57536.4,1.46642,1.31245,1.31906,0.79578,0.71673,0.75628,0.49248,1.30933,1.08396,1.17863,0.0098704,0.0098704,0.0098704
75,58388.3,1.44894,1.28964,1.30662,0.76434,0.72303,0.75028,0.49541,1.31035,1.08546,1.17879,0.00986684,0.00986684,0.00986684
76,59162.5,1.45302,1.29255,1.31468,0.76282,0.72293,0.75641,0.49792,1.31169,1.08015,1.17933,0.00986323,0.00986323,0.00986323
77,59899.7,1.45359,1.29993,1.31547,0.77707,0.70703,0.75571,0.49867,1.31272,1.07726,1.18031,0.00985958,0.00985958,0.00985958
78,60740.3,1.45493,1.30225,1.32176,0.76043,0.72647,0.75683,0.50141,1.31401,1.07851,1.18115,0.00985588,0.00985588,0.00985588
79,61573,1.45165,1.29316,1.31368,0.78457,0.7098,0.75654,0.49692,1.31289,1.0782,1.18037,0.00985213,0.00985213,0.00985213
80,62515.5,1.45315,1.28943,1.3089,0.78754,0.7056,0.75639,0.49683,1.31282,1.07884,1.18014,0.00984833,0.00984833,0.00984833
81,63014,1.44863,1.2912,1.31463,0.79064,0.70423,0.7559,0.49793,1.31305,1.07788,1.18026,0.00984449,0.00984449,0.00984449
82,63636.8,1.44503,1.27518,1.3136,0.78677,0.70362,0.75124,0.49535,1.31185,1.07562,1.17943,0.0098406,0.0098406,0.0098406
83,64201.1,1.4407,1.2774,1.31546,0.79447,0.7047,0.75658,0.49876,1.31089,1.07301,1.17893,0.00983666,0.00983666,0.00983666
84,65046,1.44377,1.27897,1.30801,0.79321,0.70065,0.75655,0.4999,1.31238,1.0697,1.18002,0.00983267,0.00983267,0.00983267
85,65536.2,1.44195,1.27119,1.30353,0.80633,0.70739,0.75772,0.49963,1.31298,1.06864,1.18085,0.00982864,0.00982864,0.00982864
86,66188.3,1.44313,1.27094,1.30978,0.78531,0.70529,0.75314,0.49361,1.31316,1.0665,1.18097,0.00982456,0.00982456,0.00982456
87,66844.9,1.43988,1.26596,1.30215,0.80776,0.70766,0.7534,0.49625,1.31362,1.06724,1.18199,0.00982043,0.00982043,0.00982043
88,67450.8,1.43539,1.25951,1.30175,0.79739,0.71225,0.75848,0.49851,1.31236,1.06515,1.18137,0.00981626,0.00981626,0.00981626
89,68143.5,1.44135,1.2693,1.29939,0.80432,0.7098,0.7587,0.49982,1.31223,1.06411,1.18135,0.00981204,0.00981204,0.00981204
90,68808.4,1.43533,1.26591,1.30604,0.80406,0.70874,0.75884,0.50259,1.31151,1.06196,1.18074,0.00980777,0.00980777,0.00980777
91,69529.5,1.44074,1.25848,1.30376,0.80415,0.70637,0.76087,0.50212,1.31002,1.06006,1.18029,0.00980345,0.00980345,0.00980345
92,70327.9,1.42807,1.26204,1.30393,0.79985,0.70924,0.76057,0.50169,1.30971,1.05843,1.18051,0.00979909,0.00979909,0.00979909
93,71065.6,1.43714,1.26849,1.30896,0.80032,0.70967,0.76079,0.5011,1.31017,1.05674,1.18079,0.00979468,0.00979468,0.00979468
94,71580.4,1.42331,1.25331,1.30026,0.80565,0.70698,0.76091,0.49922,1.30956,1.05736,1.18061,0.00979023,0.00979023,0.00979023
95,72111.9,1.42728,1.25321,1.30035,0.81024,0.70182,0.76184,0.49909,1.30914,1.05591,1.1805,0.00978572,0.00978572,0.00978572
96,73020.6,1.42864,1.25024,1.3007,0.80785,0.70357,0.76135,0.49732,1.30964,1.05517,1.18102,0.00978118,0.00978118,0.00978118
97,73809.2,1.42411,1.25101,1.30073,0.80805,0.70456,0.76146,0.4992,1.30919,1.0539,1.18091,0.00977658,0.00977658,0.00977658
98,74369.7,1.42156,1.25157,1.29435,0.80251,0.70868,0.7606,0.50003,1.30798,1.05417,1.18025,0.00977194,0.00977194,0.00977194
99,75092.6,1.42581,1.24712,1.2961,0.80023,0.71233,0.76118,0.49801,1.30788,1.05376,1.17992,0.00976725,0.00976725,0.00976725
100,75856.2,1.42681,1.25205,1.29966,0.79123,0.72348,0.76144,0.49774,1.30767,1.05327,1.17952,0.00976251,0.00976251,0.00976251
101,76760.8,1.42434,1.24513,1.29746,0.79062,0.72339,0.76253,0.49789,1.30734,1.05285,1.17846,0.00975773,0.00975773,0.00975773
102,77517.6,1.42285,1.2411,1.29672,0.79293,0.72234,0.76261,0.49841,1.30751,1.05226,1.17854,0.0097529,0.0097529,0.0097529
103,78283.2,1.4191,1.24663,1.29709,0.80578,0.71602,0.76278,0.49946,1.30658,1.05159,1.17784,0.00974803,0.00974803,0.00974803
104,78878.9,1.42175,1.24157,1.29003,0.80686,0.71653,0.76306,0.49965,1.30593,1.05026,1.1771,0.0097431,0.0097431,0.0097431
105,79977.7,1.4176,1.23854,1.29377,0.81217,0.71518,0.76298,0.50176,1.3055,1.04861,1.17711,0.00973814,0.00973814,0.00973814
106,80701.1,1.41671,1.23455,1.29405,0.81213,0.71577,0.7627,0.50088,1.30609,1.0484,1.17715,0.00973312,0.00973312,0.00973312
107,81450.5,1.40935,1.23056,1.28975,0.81215,0.71536,0.76294,0.50194,1.30522,1.04697,1.17624,0.00972806,0.00972806,0.00972806
108,82320.6,1.4139,1.22753,1.28871,0.81186,0.71349,0.76267,0.50194,1.30501,1.04587,1.176,0.00972296,0.00972296,0.00972296
109,82749.9,1.41296,1.22462,1.28491,0.80008,0.7175,0.76285,0.50237,1.30477,1.04602,1.17549,0.0097178,0.0097178,0.0097178
110,83782.5,1.4103,1.23402,1.29253,0.80333,0.71524,0.76294,0.50228,1.30451,1.04426,1.17511,0.0097126,0.0097126,0.0097126
111,84432.1,1.40316,1.2285,1.29298,0.80394,0.71452,0.76295,0.50273,1.30394,1.04288,1.17464,0.00970736,0.00970736,0.00970736
112,85161.7,1.41441,1.23244,1.28973,0.79871,0.71768,0.76168,0.50213,1.30351,1.04134,1.17439,0.00970207,0.00970207,0.00970207
113,85649.1,1.40474,1.22373,1.28418,0.80097,0.71496,0.76195,0.50384,1.303,1.04033,1.17425,0.00969673,0.00969673,0.00969673
114,86559.6,1.41317,1.22648,1.2906,0.79886,0.71749,0.76234,0.50441,1.30348,1.03935,1.17498,0.00969135,0.00969135,0.00969135
115,87071.4,1.41011,1.22871,1.2899,0.80211,0.71495,0.76233,0.50512,1.30311,1.03902,1.17462,0.00968592,0.00968592,0.00968592
116,87852.5,1.41198,1.22155,1.28506,0.80248,0.71562,0.76252,0.50571,1.30293,1.03803,1.17444,0.00968045,0.00968045,0.00968045
117,88696.3,1.40897,1.21192,1.28141,0.80659,0.71565,0.76263,0.50564,1.30283,1.03715,1.17415,0.00967493,0.00967493,0.00967493
118,89434.5,1.40467,1.21463,1.28632,0.78661,0.73017,0.76265,0.50398,1.30295,1.03661,1.17439,0.00966936,0.00966936,0.00966936
119,90120.7,1.40123,1.21085,1.27979,0.78895,0.72804,0.76249,0.50421,1.30311,1.03648,1.17445,0.00966375,0.00966375,0.00966375
120,90921.1,1.39587,1.20626,1.27547,0.78952,0.72694,0.76232,0.50412,1.30325,1.03654,1.17449,0.0096581,0.0096581,0.0096581
121,91666.1,1.40533,1.2145,1.28273,0.79069,0.72625,0.76225,0.50451,1.30345,1.03574,1.17432,0.00965239,0.00965239,0.00965239
122,92289.6,1.39834,1.21108,1.28019,0.78842,0.72696,0.76216,0.50398,1.30328,1.03521,1.17441,0.00964665,0.00964665,0.00964665
123,93089.1,1.39847,1.20437,1.27971,0.78887,0.72726,0.76204,0.50473,1.30345,1.03494,1.17457,0.00964085,0.00964085,0.00964085
124,93825.8,1.38965,1.20698,1.27764,0.78922,0.72717,0.76255,0.50539,1.30343,1.03481,1.17459,0.00963502,0.00963502,0.00963502
125,94671.4,1.39282,1.19626,1.27615,0.78934,0.72803,0.76284,0.50585,1.30355,1.03467,1.17449,0.00962913,0.00962913,0.00962913
126,95576.6,1.39718,1.20618,1.28176,0.78867,0.72796,0.7625,0.50531,1.30363,1.03443,1.17459,0.0096232,0.0096232,0.0096232
127,96202.7,1.391,1.19809,1.27235,0.78913,0.72787,0.76236,0.50562,1.30423,1.03356,1.17481,0.00961723,0.00961723,0.00961723
128,97078.1,1.39597,1.20023,1.2771,0.79012,0.72735,0.7628,0.50563,1.30391,1.03338,1.17435,0.00961121,0.00961121,0.00961121
129,97539.6,1.40066,1.20755,1.28033,0.78917,0.72712,0.76436,0.50641,1.30378,1.03277,1.17428,0.00960515,0.00960515,0.00960515
