epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.454,2.17704,3.83048,1.76739,0.00741,0.56878,0.10287,0.04998,1.76176,3.23648,1.43125,0.00328502,0.00328502,0.00328502
2,735.512,1.95559,2.69161,1.57949,0.59246,0.16085,0.13318,0.06623,1.90886,2.67479,1.63066,0.00661834,0.00661834,0.00661834
3,1080.56,1.93323,2.43085,1.5569,0.40096,0.17793,0.06417,0.0268,2.09946,5.16849,1.815,0.00995159,0.00995159,0.00995159
4,1303.73,1.97061,2.33829,1.57205,0.46915,0.06637,0.03809,0.01568,2.79967,6.41028,2.72331,0.00999978,0.00999978,0.00999978
5,1510.08,1.89744,2.17038,1.53886,0.59759,0.27213,0.30035,0.14817,1.77683,2.30612,1.52624,0.00999961,0.00999961,0.00999961
6,1723.63,1.85523,2.07668,1.51888,0.53921,0.199,0.19529,0.09235,1.94473,2.76758,1.65202,0.00999939,0.00999939,0.00999939
7,1907.67,1.82674,1.9813,1.49047,0.48265,0.28103,0.28092,0.1541,2.00259,2.90555,1.73689,0.00999912,0.00999912,0.00999912
8,2194.04,1.78736,1.94179,1.49077,0.70096,0.21944,0.30468,0.16583,1.77408,2.34031,1.53568,0.0099988,0.0099988,0.0099988
9,2543.15,1.77662,1.88739,1.47501,0.51144,0.34566,0.32342,0.17777,1.73939,2.15156,1.46567,0.00999844,0.00999844,0.00999844
10,2785.27,1.77593,1.86086,1.4659,0.65635,0.2845,0.31583,0.16634,1.77094,2.5068,1.55427,0.00999802,0.00999802,0.00999802
11,3130.68,1.74218,1.84281,1.46895,0.4781,0.30371,0.30061,0.15246,1.78943,2.22506,1.54287,0.00999756,0.00999756,0.00999756
12,3345.15,1.73185,1.79216,1.44739,0.40903,0.29177,0.29555,0.15324,1.89957,2.48215,1.59409,0.00999704,0.00999704,0.00999704
13,3563.13,1.74382,1.79458,1.44581,0.55916,0.2955,0.33015,0.16979,1.81363,2.14613,1.58565,0.00999648,0.00999648,0.00999648
14,3840.59,1.72661,1.77193,1.43771,0.47366,0.28923,0.30548,0.17148,1.96663,2.54551,1.73184,0.00999587,0.00999587,0.00999587
15,4033.77,1.71423,1.75363,1.44155,0.49023,0.44005,0.44111,0.24096,1.59925,1.69931,1.37459,0.00999521,0.00999521,0.00999521
16,4284.05,1.70468,1.74447,1.43846,0.6736,0.37181,0.45331,0.23815,1.63485,1.94988,1.38448,0.0099945,0.0099945,0.0099945
17,4595.45,1.70258,1.72469,1.42597,0.69461,0.44382,0.5258,0.29583,1.66355,1.82868,1.43251,0.00999375,0.00999375,0.00999375
18,4804.49,1.70109,1.71242,1.4236,0.66193,0.38466,0.39664,0.20885,1.82905,2.25096,1.56999,0.00999294,0.00999294,0.00999294
19,5056.34,1.69383,1.709,1.42719,0.55996,0.46844,0.47332,0.26042,1.75274,2.0132,1.49745,0.00999209,0.00999209,0.00999209
20,5250.05,1.70672,1.69669,1.41421,0.51763,0.53116,0.5097,0.28823,1.66421,1.88212,1.40625,0.00999118,0.00999118,0.00999118
21,5586.8,1.67556,1.68641,1.41712,0.69885,0.40624,0.48542,0.27419,1.58872,1.80682,1.32243,0.00999023,0.00999023,0.00999023
