epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2870.34,3.39607,3.51543,2.72901,0.51906,0.56257,0.58528,0.35195,2.97406,2.88539,2.44638,0.00995899,0.00995899,0.00995899
43,2937.35,3.40252,3.52123,2.71108,0.63279,0.54982,0.59554,0.35472,2.97181,2.92334,2.44311,0.00995697,0.00995697,0.00995697
44,3005.04,3.38391,3.50219,2.71953,0.55011,0.56978,0.5826,0.35092,2.94563,2.92624,2.45648,0.0099549,0.0099549,0.0099549
45,3071.5,3.38121,3.49686,2.72376,0.62776,0.54272,0.5827,0.33496,2.98182,2.96732,2.43998,0.00995278,0.00995278,0.00995278
46,3138.01,3.38354,3.49823,2.71929,0.58309,0.58571,0.61198,0.37215,2.95211,2.83246,2.42155,0.00995062,0.00995062,0.00995062
47,3203.74,3.37161,3.47643,2.71533,0.58987,0.49335,0.59014,0.34901,2.94693,2.92331,2.42634,0.0099484,0.0099484,0.0099484
48,3271.8,3.35978,3.48538,2.72666,0.61654,0.5631,0.61682,0.36809,2.96075,2.83846,2.45661,0.00994614,0.00994614,0.00994614
49,3340.54,3.37668,3.48457,2.7113,0.61887,0.57549,0.63468,0.38113,2.94103,2.81076,2.43348,0.00994383,0.00994383,0.00994383
50,3406.3,3.36211,3.44988,2.70388,0.64336,0.51584,0.61839,0.36911,2.92432,2.81972,2.41225,0.00994147,0.00994147,0.00994147
51,3472.94,3.34736,3.44355,2.71262,0.6807,0.56876,0.62793,0.38695,2.91739,2.80366,2.40672,0.00993906,0.00993906,0.00993906
52,3543.36,3.35153,3.44161,2.71459,0.64021,0.61686,0.64154,0.39145,2.90504,2.76452,2.39856,0.0099366,0.0099366,0.0099366
53,3611.19,3.35105,3.46598,2.7194,0.67553,0.58471,0.65385,0.40751,2.90284,2.80705,2.40832,0.0099341,0.0099341,0.0099341
54,3679.32,3.3467,3.44517,2.71082,0.6376,0.63353,0.65595,0.39285,2.92831,2.77148,2.41993,0.00993154,0.00993154,0.00993154
55,3748.13,3.3529,3.44259,2.71359,0.60779,0.6439,0.64998,0.39712,2.918,2.77222,2.40702,0.00992894,0.00992894,0.00992894
56,3815.54,3.31542,3.39716,2.70777,0.70334,0.58745,0.65981,0.40001,2.89275,2.75159,2.40073,0.00992629,0.00992629,0.00992629
57,3883.54,3.37873,3.43691,2.70354,0.68228,0.63129,0.67598,0.41003,2.91481,2.72013,2.4046,0.00992359,0.00992359,0.00992359
58,3951.79,3.33627,3.405,2.70781,0.67664,0.59022,0.6522,0.40113,2.89699,2.7369,2.39164,0.00992085,0.00992085,0.00992085
59,4019,3.32844,3.3857,2.70591,0.59061,0.63091,0.64288,0.4016,2.90627,2.73394,2.4009,0.00991805,0.00991805,0.00991805
60,4090.29,3.35203,3.40628,2.68945,0.60145,0.63377,0.65091,0.39957,2.8858,2.76,2.38897,0.00991521,0.00991521,0.00991521
61,4157.81,3.32996,3.40521,2.68558,0.61293,0.63487,0.65647,0.40687,2.8887,2.71128,2.38528,0.00991232,0.00991232,0.00991232
62,4226.35,3.32303,3.37724,2.68387,0.65781,0.62356,0.6469,0.40633,2.87782,2.75715,2.37526,0.00990938,0.00990938,0.00990938
63,4292.46,3.34171,3.38964,2.68232,0.67285,0.61563,0.65676,0.40799,2.89053,2.70849,2.3799,0.0099064,0.0099064,0.0099064
64,4361.02,3.33958,3.39199,2.68463,0.69657,0.6157,0.6606,0.40777,2.87789,2.72414,2.37552,0.00990336,0.00990336,0.00990336
65,4430.69,3.32519,3.367,2.69832,0.6699,0.65678,0.68152,0.41442,2.87842,2.70757,2.377,0.00990028,0.00990028,0.00990028
66,4499.52,3.32598,3.34621,2.67502,0.64198,0.64239,0.66649,0.41671,2.88749,2.70249,2.37924,0.00989715,0.00989715,0.00989715
67,4568.03,3.31981,3.34381,2.67464,0.71401,0.59056,0.66175,0.41422,2.86308,2.69935,2.37146,0.00989398,0.00989398,0.00989398
68,4636.2,3.31596,3.35257,2.68124,0.68315,0.60239,0.64812,0.40978,2.86157,2.68877,2.37874,0.00989075,0.00989075,0.00989075
69,4703.69,3.3477,3.36351,2.67772,0.67912,0.6056,0.66619,0.41506,2.85919,2.67997,2.37139,0.00988748,0.00988748,0.00988748
70,4769.38,3.33121,3.3576,2.67316,0.63023,0.66467,0.65705,0.40751,2.85474,2.6889,2.3669,0.00988416,0.00988416,0.00988416
71,4834.93,3.33312,3.35237,2.67483,0.69315,0.61274,0.67028,0.41517,2.86471,2.68939,2.3702,0.00988079,0.00988079,0.00988079
72,4902.82,3.32573,3.38311,2.684,0.68677,0.61319,0.67606,0.42257,2.84611,2.69764,2.36883,0.00987737,0.00987737,0.00987737
73,4970.42,3.31983,3.35454,2.6666,0.65071,0.63905,0.67521,0.42532,2.842,2.67187,2.36394,0.00987391,0.00987391,0.00987391
74,5038.7,3.30134,3.34522,2.69016,0.71398,0.60175,0.67204,0.4276,2.85532,2.66699,2.36381,0.0098704,0.0098704,0.0098704
75,5104.85,3.30929,3.32495,2.67205,0.69836,0.62489,0.6685,0.41515,2.8638,2.64877,2.36878,0.00986684,0.00986684,0.00986684
76,5172.52,3.31498,3.31416,2.66251,0.6625,0.60434,0.66775,0.41937,2.85265,2.64272,2.36421,0.00986323,0.00986323,0.00986323
77,5244.22,3.32923,3.3496,2.66178,0.66455,0.63881,0.66312,0.42356,2.85343,2.66613,2.35708,0.00985958,0.00985958,0.00985958
78,5313.13,3.30636,3.33956,2.67337,0.68789,0.61927,0.672,0.42777,2.8426,2.62359,2.35041,0.00985588,0.00985588,0.00985588
79,5380.44,3.3048,3.33462,2.6649,0.69417,0.62309,0.6782,0.43376,2.848,2.61596,2.35275,0.00985213,0.00985213,0.00985213
80,5450.44,3.32851,3.31915,2.67035,0.64051,0.65352,0.66222,0.42716,2.84237,2.63427,2.3533,0.00984833,0.00984833,0.00984833
81,5519.65,3.30701,3.33888,2.66606,0.64801,0.597,0.65591,0.42302,2.83428,2.62401,2.34674,0.00984449,0.00984449,0.00984449
82,5588.95,3.32359,3.31714,2.65752,0.66372,0.6267,0.65779,0.42655,2.83194,2.63315,2.34797,0.0098406,0.0098406,0.0098406
83,5657.41,3.31346,3.29822,2.64675,0.71741,0.60878,0.6706,0.43734,2.83637,2.62116,2.34709,0.00983666,0.00983666,0.00983666
84,5725.79,3.2924,3.28149,2.65304,0.70036,0.61573,0.66736,0.43621,2.82254,2.62326,2.34188,0.00983267,0.00983267,0.00983267
85,5794.04,3.29143,3.27849,2.64997,0.72881,0.62533,0.67719,0.43449,2.82846,2.63553,2.34075,0.00982864,0.00982864,0.00982864
86,5860.65,3.27928,3.29263,2.66244,0.67138,0.65499,0.6807,0.44116,2.82083,2.60971,2.33723,0.00982456,0.00982456,0.00982456
87,5930.29,3.31288,3.27964,2.64818,0.67184,0.64999,0.67036,0.4384,2.82072,2.59826,2.33678,0.00982043,0.00982043,0.00982043
88,5996.79,3.28569,3.25801,2.64869,0.67163,0.65452,0.67376,0.43538,2.82088,2.58668,2.33757,0.00981626,0.00981626,0.00981626
89,6065.95,3.29025,3.29805,2.67466,0.67124,0.64966,0.67016,0.43327,2.8185,2.5953,2.3359,0.00981204,0.00981204,0.00981204
90,6133.32,3.28809,3.26923,2.65814,0.67604,0.63784,0.67285,0.43002,2.8175,2.60131,2.33619,0.00980777,0.00980777,0.00980777
91,6202.32,3.27941,3.27826,2.66193,0.70719,0.64038,0.67871,0.43205,2.81301,2.58965,2.33305,0.00980345,0.00980345,0.00980345
92,6271.85,3.30775,3.27025,2.66063,0.74675,0.63254,0.68357,0.43355,2.8166,2.59559,2.33444,0.00979909,0.00979909,0.00979909
93,6339.53,3.30951,3.28896,2.6417,0.75701,0.63017,0.69767,0.43889,2.808,2.58745,2.3317,0.00979468,0.00979468,0.00979468
94,6405.15,3.30141,3.28017,2.64326,0.75014,0.63185,0.69938,0.44051,2.80911,2.58797,2.33174,0.00979023,0.00979023,0.00979023
95,6473.57,3.27485,3.24066,2.632,0.76141,0.64016,0.70095,0.44185,2.80659,2.59432,2.3284,0.00978572,0.00978572,0.00978572
96,6541.39,3.29009,3.26028,2.63345,0.71016,0.65878,0.69901,0.4406,2.8093,2.59225,2.32761,0.00978118,0.00978118,0.00978118
97,6610.61,3.29158,3.25567,2.64391,0.7082,0.66816,0.69532,0.43693,2.81297,2.58924,2.33023,0.00977658,0.00977658,0.00977658
98,6679.42,3.28701,3.26271,2.6478,0.71467,0.67022,0.69635,0.4382,2.80783,2.58049,2.32717,0.00977194,0.00977194,0.00977194
99,6750.03,3.28278,3.25065,2.64549,0.68759,0.68062,0.6938,0.43742,2.80456,2.57463,2.32665,0.00976725,0.00976725,0.00976725
100,6818.31,3.27796,3.23208,2.647,0.69394,0.65814,0.69385,0.43754,2.80014,2.56527,2.32437,0.00976251,0.00976251,0.00976251
101,6886.43,3.26194,3.24314,2.6507,0.69302,0.65114,0.68628,0.43921,2.79633,2.55672,2.32313,0.00975773,0.00975773,0.00975773
102,6955.46,3.26906,3.24915,2.63763,0.69078,0.65551,0.68385,0.43994,2.79594,2.55396,2.32293,0.0097529,0.0097529,0.0097529
103,7022.67,3.27618,3.24342,2.64129,0.70289,0.64811,0.68797,0.44331,2.79677,2.55122,2.32091,0.00974803,0.00974803,0.00974803
104,7090.5,3.28491,3.2356,2.63462,0.71002,0.64554,0.69116,0.44524,2.79685,2.5513,2.32127,0.0097431,0.0097431,0.0097431
105,7160.93,3.27558,3.25098,2.64863,0.68736,0.6516,0.69096,0.44628,2.79466,2.55386,2.31931,0.00973814,0.00973814,0.00973814
106,7231.34,3.25376,3.22658,2.64739,0.71734,0.63598,0.68641,0.44355,2.79668,2.54676,2.32169,0.00973312,0.00973312,0.00973312
107,7299.57,3.26996,3.23048,2.63511,0.70351,0.63712,0.68473,0.44119,2.79306,2.54624,2.31963,0.00972806,0.00972806,0.00972806
108,7370.25,3.28313,3.21926,2.62142,0.72478,0.64716,0.6946,0.44448,2.79345,2.53976,2.3213,0.00972296,0.00972296,0.00972296
109,7439.73,3.26591,3.22516,2.63635,0.73004,0.64984,0.69967,0.44953,2.78929,2.53473,2.31801,0.0097178,0.0097178,0.0097178
110,7506.44,3.27444,3.23121,2.63653,0.75751,0.63724,0.70165,0.45119,2.78792,2.53666,2.3182,0.0097126,0.0097126,0.0097126
111,7573.13,3.2636,3.21499,2.633,0.76316,0.63622,0.70265,0.45337,2.78927,2.53359,2.3172,0.00970736,0.00970736,0.00970736
112,7640.99,3.27045,3.22044,2.63814,0.77257,0.6284,0.70193,0.45158,2.79076,2.535,2.31706,0.00970207,0.00970207,0.00970207
113,7708.31,3.26195,3.2027,2.6394,0.75785,0.63586,0.70033,0.45046,2.79041,2.53374,2.31768,0.00969673,0.00969673,0.00969673
114,7776.52,3.29655,3.21557,2.62658,0.75404,0.63497,0.69714,0.45053,2.79167,2.5266,2.319,0.00969135,0.00969135,0.00969135
115,7845.92,3.27273,3.2214,2.64621,0.74446,0.62927,0.68943,0.44949,2.78897,2.52961,2.31695,0.00968592,0.00968592,0.00968592
116,7914.55,3.26978,3.19728,2.63469,0.71415,0.64015,0.68999,0.44766,2.79169,2.52576,2.31893,0.00968045,0.00968045,0.00968045
117,7980.63,3.28413,3.21064,2.6175,0.71212,0.6481,0.69177,0.44934,2.79403,2.52024,2.31943,0.00967493,0.00967493,0.00967493
118,8047.18,3.24516,3.20254,2.6349,0.7144,0.64508,0.69527,0.45258,2.79279,2.51631,2.31815,0.00966936,0.00966936,0.00966936
119,8116.04,3.25772,3.19623,2.62185,0.70087,0.66124,0.69532,0.45333,2.79025,2.51957,2.31688,0.00966375,0.00966375,0.00966375
120,8184.62,3.23305,3.18294,2.63198,0.69711,0.66649,0.69499,0.45342,2.79043,2.51535,2.31609,0.0096581,0.0096581,0.0096581
121,8254.23,3.23658,3.18879,2.62936,0.68903,0.66855,0.69093,0.44863,2.79036,2.51484,2.31598,0.00965239,0.00965239,0.00965239
122,8322.53,3.26547,3.19053,2.6265,0.68514,0.6729,0.69228,0.45145,2.7898,2.51196,2.31553,0.00964665,0.00964665,0.00964665
123,8392.13,3.24763,3.19787,2.62922,0.69556,0.67454,0.69548,0.45261,2.79092,2.50659,2.3154,0.00964085,0.00964085,0.00964085
124,8459.25,3.227,3.17689,2.63632,0.69829,0.66962,0.69509,0.45229,2.78919,2.50581,2.3143,0.00963502,0.00963502,0.00963502
125,8524.91,3.24717,3.17805,2.617,0.70254,0.66235,0.69635,0.452,2.79018,2.50516,2.31378,0.00962913,0.00962913,0.00962913
126,8591.06,3.25359,3.18032,2.63234,0.70746,0.66488,0.69764,0.45454,2.79036,2.50378,2.31452,0.0096232,0.0096232,0.0096232
127,8656.82,3.25734,3.18458,2.63441,0.6937,0.66506,0.69839,0.45472,2.79137,2.50086,2.31482,0.00961723,0.00961723,0.00961723
128,8722.91,3.23042,3.17779,2.62108,0.68884,0.68061,0.69988,0.45375,2.79044,2.49941,2.31438,0.00961121,0.00961121,0.00961121
129,8788.44,3.2703,3.18875,2.6237,0.6855,0.67913,0.70055,0.45313,2.79171,2.49562,2.31445,0.00960515,0.00960515,0.00960515
130,8857.01,3.25524,3.18126,2.6268,0.69592,0.6811,0.70972,0.45839,2.79106,2.49422,2.31485,0.00959904,0.00959904,0.00959904
131,8924.54,3.26062,3.19713,2.6216,0.69283,0.68038,0.70995,0.45944,2.79171,2.49216,2.31386,0.00959289,0.00959289,0.00959289
132,8991.8,3.2494,3.18611,2.63951,0.69775,0.67574,0.70944,0.45957,2.7904,2.4892,2.3134,0.00958669,0.00958669,0.00958669
133,9058.9,3.27063,3.18915,2.6157,0.69028,0.68012,0.70914,0.45864,2.78818,2.48872,2.31263,0.00958044,0.00958044,0.00958044
