epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,54002.3,1.5348,1.42606,1.39334,0.7495,0.65651,0.70405,0.43459,1.38361,1.25222,1.24445,0.00998086,0.00998086,0.00998086
30,55682.8,1.52976,1.42729,1.39457,0.72965,0.65281,0.72276,0.45358,1.4072,1.25295,1.26372,0.00997947,0.00997947,0.00997947
31,57936.5,1.52258,1.42395,1.39113,0.7171,0.65526,0.6987,0.43278,1.3979,1.2895,1.25128,0.00997803,0.00997803,0.00997803
32,59416.8,1.51601,1.39512,1.37547,0.70094,0.64933,0.69556,0.44017,1.38727,1.24671,1.24812,0.00997654,0.00997654,0.00997654
33,60628.3,1.51422,1.39596,1.36916,0.72705,0.63936,0.73438,0.46292,1.3722,1.24374,1.23745,0.00997501,0.00997501,0.00997501
34,62303.4,1.51273,1.39432,1.38217,0.6386,0.66852,0.69912,0.43352,1.37588,1.22508,1.23704,0.00997342,0.00997342,0.00997342
35,64128.7,1.50839,1.39275,1.37732,0.68248,0.70816,0.72134,0.45626,1.37742,1.20861,1.23758,0.00997179,0.00997179,0.00997179
36,65688.2,1.5035,1.38193,1.37434,0.6808,0.66212,0.70335,0.44857,1.36427,1.21811,1.23169,0.00997011,0.00997011,0.00997011
37,67625.7,1.50275,1.38091,1.37296,0.71009,0.67842,0.70739,0.45261,1.35337,1.17508,1.22893,0.00996838,0.00996838,0.00996838
38,69476.8,1.50177,1.3701,1.3703,0.73142,0.6872,0.72372,0.46849,1.3555,1.16773,1.22273,0.0099666,0.0099666,0.0099666
39,71353.7,1.48967,1.36939,1.36884,0.70173,0.68632,0.71652,0.45958,1.34816,1.17163,1.22646,0.00996477,0.00996477,0.00996477
40,73084.2,1.48866,1.3558,1.36583,0.72755,0.6838,0.71132,0.46094,1.34519,1.17786,1.22545,0.00996289,0.00996289,0.00996289
41,74697.4,1.49123,1.35571,1.37054,0.73065,0.67329,0.73079,0.46827,1.3475,1.1681,1.21797,0.00996097,0.00996097,0.00996097
42,76069.6,1.48401,1.351,1.36702,0.73901,0.67273,0.72657,0.46429,1.34143,1.18532,1.21764,0.00995899,0.00995899,0.00995899
43,77766.3,1.47662,1.3442,1.35723,0.70359,0.69923,0.72471,0.46453,1.35521,1.16481,1.22408,0.00995697,0.00995697,0.00995697
44,79474.5,1.48559,1.3402,1.35833,0.75536,0.67323,0.72989,0.47554,1.33068,1.14075,1.21269,0.0099549,0.0099549,0.0099549
45,81201.5,1.47594,1.32803,1.35646,0.73059,0.65228,0.71774,0.46373,1.33493,1.14308,1.20529,0.00995278,0.00995278,0.00995278
46,82907.1,1.47023,1.33582,1.35075,0.75454,0.65814,0.72731,0.46872,1.32681,1.14076,1.21102,0.00995062,0.00995062,0.00995062
47,84574.8,1.46381,1.32303,1.34665,0.71274,0.65991,0.72021,0.46231,1.32486,1.11686,1.21066,0.0099484,0.0099484,0.0099484
48,86002.4,1.46458,1.32749,1.35397,0.74348,0.66553,0.72693,0.47363,1.32952,1.13959,1.21201,0.00994614,0.00994614,0.00994614
49,87797,1.45511,1.31347,1.34761,0.72971,0.7141,0.73911,0.4782,1.33246,1.12308,1.21574,0.00994383,0.00994383,0.00994383
50,89113.5,1.45687,1.30904,1.34342,0.70512,0.73259,0.74817,0.48528,1.32367,1.09856,1.20516,0.00994147,0.00994147,0.00994147
51,90939.3,1.45645,1.31223,1.34759,0.7496,0.68156,0.74541,0.48694,1.3168,1.12183,1.20657,0.00993906,0.00993906,0.00993906
52,92547.8,1.45899,1.30949,1.34411,0.78488,0.68327,0.74718,0.49511,1.30972,1.1129,1.19442,0.0099366,0.0099366,0.0099366
53,94591.5,1.45475,1.30744,1.35334,0.75855,0.70043,0.74388,0.4834,1.31705,1.10718,1.20668,0.0099341,0.0099341,0.0099341
54,96064.5,1.45335,1.29387,1.3425,0.77229,0.68801,0.74683,0.48574,1.31895,1.10641,1.20382,0.00993154,0.00993154,0.00993154
55,97744.5,1.45212,1.29839,1.34041,0.77112,0.70973,0.74998,0.49126,1.31089,1.09453,1.19967,0.00992894,0.00992894,0.00992894
56,99511.2,1.44398,1.29231,1.34252,0.70991,0.73554,0.74603,0.49629,1.31126,1.0788,1.20705,0.00992629,0.00992629,0.00992629
