epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.963,2.20871,3.98723,1.79697,0.79593,0.0459,0.08129,0.03632,1.94692,3.13725,1.62302,0.00328767,0.00328767,0.00328767
2,573.814,2.00573,2.77563,1.60779,0.57555,0.18,0.14047,0.06906,1.90382,2.37771,1.52952,0.00662099,0.00662099,0.00662099
3,817.923,1.97212,2.49765,1.57094,0.37827,0.09131,0.05234,0.02332,2.30634,3.27371,1.94975,0.00995424,0.00995424,0.00995424
4,1005.23,1.96747,2.32128,1.56847,0.53128,0.07474,0.03529,0.01328,2.55127,5.19337,2.26465,0.00999978,0.00999978,0.00999978
5,1234.01,1.9152,2.20016,1.54842,0.59735,0.18365,0.17966,0.08116,1.96635,2.75428,1.6948,0.00999961,0.00999961,0.00999961
6,1484.85,1.88699,2.05319,1.51126,0.70351,0.13573,0.13642,0.05991,2.07132,2.92113,1.73431,0.00999939,0.00999939,0.00999939
7,1645.67,1.85224,2.02237,1.50611,0.55614,0.19739,0.19973,0.0984,1.94102,3.15379,1.66246,0.00999912,0.00999912,0.00999912
8,1913.17,1.82595,1.98749,1.5105,0.67863,0.19082,0.19309,0.09871,1.88155,2.82991,1.61181,0.0099988,0.0099988,0.0099988
9,2201.8,1.8148,1.92363,1.48965,0.54131,0.22441,0.23359,0.12334,2.04102,2.76979,1.77329,0.00999844,0.00999844,0.00999844
10,2382.68,1.81996,1.90551,1.48139,0.51437,0.26808,0.26407,0.13392,1.95649,2.45345,1.68663,0.00999802,0.00999802,0.00999802
11,2591.07,1.77648,1.87699,1.48202,0.51516,0.30914,0.3797,0.20224,1.68671,2.07914,1.41447,0.00999756,0.00999756,0.00999756
12,2793.9,1.79259,1.84769,1.46376,0.64234,0.30284,0.38197,0.19422,1.75803,2.21593,1.50813,0.00999704,0.00999704,0.00999704
13,3043.34,1.78172,1.84446,1.46526,0.51602,0.38986,0.34753,0.18036,1.77458,2.09981,1.4663,0.00999648,0.00999648,0.00999648
14,3272.91,1.76988,1.81548,1.45272,0.56356,0.29868,0.3042,0.15617,1.74571,2.4225,1.49796,0.00999587,0.00999587,0.00999587
15,3585.72,1.74826,1.79437,1.45465,0.61711,0.42823,0.45032,0.24506,1.65119,1.8045,1.37734,0.00999521,0.00999521,0.00999521
16,3823.91,1.74969,1.79408,1.45184,0.62058,0.34809,0.39496,0.21354,1.76574,1.93182,1.49981,0.0099945,0.0099945,0.0099945
17,4031.14,1.7485,1.7759,1.4396,0.55471,0.43534,0.48033,0.24835,1.65745,2.03674,1.38515,0.00999375,0.00999375,0.00999375
18,4311.14,1.74004,1.77705,1.44178,0.59428,0.42696,0.46179,0.26112,1.63331,1.78352,1.38516,0.00999294,0.00999294,0.00999294
19,4512.41,1.74981,1.75931,1.4363,0.60577,0.4546,0.47704,0.26223,1.65984,1.83456,1.37116,0.00999209,0.00999209,0.00999209
20,4755.04,1.72106,1.75777,1.43858,0.50523,0.44678,0.48262,0.24932,1.67488,1.89188,1.41124,0.00999118,0.00999118,0.00999118
21,4934.96,1.7315,1.73253,1.42324,0.46164,0.43073,0.38029,0.20996,1.73939,2.09396,1.45925,0.00999023,0.00999023,0.00999023
22,5168.29,1.71525,1.73245,1.42477,0.59622,0.42153,0.45871,0.24266,1.67913,1.79263,1.41939,0.00998923,0.00998923,0.00998923
23,5434.79,1.71018,1.73358,1.43966,0.65061,0.47357,0.5215,0.28937,1.6159,1.82101,1.35779,0.00998818,0.00998818,0.00998818
24,5710.73,1.71182,1.72481,1.42779,0.68021,0.46076,0.52301,0.28351,1.63909,1.87817,1.38208,0.00998708,0.00998708,0.00998708
25,5866.35,1.71364,1.7035,1.41455,0.65099,0.45653,0.47256,0.26452,1.60664,1.78455,1.32629,0.00998594,0.00998594,0.00998594
26,6101.16,1.70933,1.71441,1.42161,0.68613,0.48326,0.54504,0.31012,1.56322,1.65668,1.30942,0.00998474,0.00998474,0.00998474
27,6342.49,1.70158,1.69958,1.41409,0.56423,0.49267,0.48297,0.27009,1.64025,1.89625,1.39441,0.0099835,0.0099835,0.0099835
28,6578.45,1.6912,1.68382,1.40895,0.67203,0.48265,0.57486,0.31022,1.57321,1.72579,1.34394,0.0099822,0.0099822,0.0099822
29,6846.86,1.70334,1.70149,1.41865,0.68301,0.45177,0.5021,0.28703,1.64465,1.75404,1.38194,0.00998086,0.00998086,0.00998086
30,7054.77,1.68544,1.67198,1.40745,0.59507,0.51134,0.5599,0.31409,1.58335,1.74629,1.336,0.00997947,0.00997947,0.00997947
31,7369.59,1.68079,1.68732,1.40983,0.66065,0.58538,0.62615,0.34507,1.5816,1.5824,1.33174,0.00997803,0.00997803,0.00997803
32,7597.34,1.67617,1.66663,1.40862,0.59282,0.55978,0.56163,0.3285,1.58574,1.68146,1.33967,0.00997654,0.00997654,0.00997654
33,7799.12,1.68147,1.66745,1.40147,0.64786,0.50177,0.5867,0.33867,1.5515,1.55724,1.30608,0.00997501,0.00997501,0.00997501
34,8013.74,1.68157,1.65783,1.3977,0.72463,0.45656,0.51964,0.29219,1.59399,1.67889,1.34604,0.00997342,0.00997342,0.00997342
1,267.543,2.2161,4.00722,1.80413,0.79143,0.07707,0.10748,0.05087,1.92147,2.99624,1.57201,0.00328704,0.00328704,0.00328704
2,559.15,1.99845,2.77683,1.62096,0.65032,0.17841,0.15439,0.07387,2.01295,2.44194,1.5862,0.00662035,0.00662035,0.00662035
3,752.153,1.96935,2.4769,1.5689,0.61635,0.12204,0.07538,0.03285,2.21728,3.71568,1.82517,0.00995361,0.00995361,0.00995361
4,945.548,1.97318,2.3243,1.5696,0.48743,0.09454,0.08183,0.03993,2.43342,4.0623,2.26804,0.00999978,0.00999978,0.00999978
5,1176.86,1.91669,2.18331,1.53908,0.38741,0.25861,0.18446,0.08744,2.12045,2.63624,1.84672,0.00999961,0.00999961,0.00999961
6,1441.26,1.88981,2.07683,1.5208,0.45769,0.19649,0.11367,0.05719,2.3014,3.7379,2.06145,0.00999939,0.00999939,0.00999939
7,1602.78,1.84692,2.01098,1.4969,0.59156,0.2026,0.18997,0.09414,2.17599,3.09944,1.95173,0.00999912,0.00999912,0.00999912
8,1878.36,1.83542,1.99314,1.5125,0.55769,0.14116,0.12048,0.05262,2.28387,3.48064,2.00792,0.0099988,0.0099988,0.0099988
9,2078.76,1.81058,1.92501,1.48353,0.60696,0.28602,0.30418,0.15466,1.79944,2.27451,1.49331,0.00999844,0.00999844,0.00999844
10,2286.8,1.8197,1.90506,1.48106,0.5227,0.37341,0.35609,0.18128,1.82516,2.1727,1.5178,0.00999802,0.00999802,0.00999802
11,2506.23,1.78466,1.89047,1.47885,0.4466,0.30126,0.34838,0.18464,1.79405,2.2575,1.50352,0.00999756,0.00999756,0.00999756
12,2675.42,1.78829,1.84562,1.45497,0.5301,0.42034,0.42175,0.23025,1.66372,1.94895,1.39572,0.00999704,0.00999704,0.00999704
13,2932.24,1.77215,1.83888,1.46398,0.58034,0.31013,0.31907,0.16859,1.80829,2.24501,1.53077,0.00999648,0.00999648,0.00999648
14,3161.29,1.76943,1.8209,1.45772,0.51001,0.52077,0.49507,0.26361,1.63616,1.81686,1.36852,0.00999587,0.00999587,0.00999587
15,3569.75,1.75138,1.80833,1.4558,0.56983,0.36318,0.42878,0.21939,1.72467,1.98313,1.48144,0.00999521,0.00999521,0.00999521
16,3801.02,1.75222,1.79457,1.44961,0.5046,0.4029,0.39913,0.2136,1.77261,2.03424,1.4722,0.0099945,0.0099945,0.0099945
17,4029.46,1.74794,1.78783,1.44989,0.57579,0.38406,0.40885,0.22381,1.74162,2.08198,1.47086,0.00999375,0.00999375,0.00999375
18,4254.96,1.7386,1.76952,1.43975,0.5497,0.42667,0.46827,0.24519,1.69509,1.80669,1.40312,0.00999294,0.00999294,0.00999294
19,4479.17,1.74351,1.75231,1.43794,0.54444,0.42453,0.44038,0.24867,1.67711,1.86294,1.41296,0.00999209,0.00999209,0.00999209
20,4703.36,1.72791,1.74858,1.43727,0.59242,0.30472,0.35843,0.17637,1.84053,2.11775,1.5647,0.00999118,0.00999118,0.00999118
21,4912.61,1.72821,1.74529,1.42882,0.59011,0.48004,0.50573,0.27023,1.63286,1.73549,1.36762,0.00999023,0.00999023,0.00999023
22,5127.67,1.72404,1.71782,1.42211,0.68041,0.40037,0.51255,0.27978,1.67166,1.81902,1.42052,0.00998923,0.00998923,0.00998923
23,5417.18,1.70923,1.72805,1.43008,0.55267,0.51388,0.49885,0.27532,1.67427,1.86316,1.40788,0.00998818,0.00998818,0.00998818
24,5630.36,1.70586,1.71363,1.41924,0.57211,0.42811,0.45846,0.25533,1.644,1.8447,1.42072,0.00998708,0.00998708,0.00998708
25,5824.77,1.70355,1.7048,1.41906,0.63497,0.4064,0.44975,0.23127,1.59623,1.81087,1.33576,0.00998594,0.00998594,0.00998594
26,6094.5,1.71683,1.71421,1.42543,0.68344,0.4675,0.51786,0.29115,1.54031,1.57819,1.30041,0.00998474,0.00998474,0.00998474
27,6359.95,1.70166,1.69469,1.41088,0.73205,0.47864,0.59225,0.33184,1.62827,1.76664,1.34474,0.0099835,0.0099835,0.0099835
28,6564.85,1.69975,1.69195,1.41409,0.61596,0.43043,0.50361,0.26686,1.64036,1.71152,1.38503,0.0099822,0.0099822,0.0099822
29,6781.57,1.6894,1.68049,1.40536,0.52949,0.50197,0.49588,0.26216,1.75129,2.02937,1.47625,0.00998086,0.00998086,0.00998086
